,city,job_id,need_for_position,post_date,preferred_skill,salary_lower,salary_upper,state
72,Vancouver,HT1-1351363,"More Than 5 Years of experience and knowledge of: - Bachelor's degree in Computer Science, Computer, Electrical Engineering or related field - Experience in developing in C++ and/or C#  - Experience developing and debugging embedded Linux applications and kernel  - Excellent written and verbal communication and interpersonal skills.  - Knowledge of network control, routing and high speed Ethernet physical layer protocols  - Experience with HW/SW co-design, integration and bring-up.  - Energetic and passionate about software product development  - Strong analytical skills. Excellent written, verbal, presentation communication skills. Must be able to read and interpret complex information, talk with customers, and listen attentively.  - Must have experience in cross platform development, and have worked in products or technologies that have scalable and sustainable architectures  - Assertive self-starter with excellent organizational skills. Exhibit a positive, can-do approach and inspire associates to excel and develop a team spirit.",03/05/2017,"C/C++, C# Developer, Linux Kernel, Network Protocols, Routing",0,0,BC
73,South Portland,MB6-1354326,At Least 3 Years of experience and knowledge of: - Object Oriented Programming (OOP) - Web Application Development - ASP.NET - C# - JavaScript - HTML,03/05/2017,"Object Oriented Programming (OOP), Web Application Development, ASP.NET, C#, Javascript, HTML",0,0,ME
74,San Antonio,JS8-1348443,"At Least 3 Years of experience and knowledge of: - Proficient in writing server software using Django or other frameworks - Proficient using SQL databases (postgresql preferred) and ORMs - Proficient writing code using python / perl / node.js / etc. - Some knowledge of working with developers on UI/UX teams using angular.js / react.js / etc.  - Experience writing cloud software applications preferred - Experience with large data sets preferred - Experience with writing network security / application security products is a bonus but not required - 3-5 years professional experience  - Strong team player - Willing to work in fast paced, agile SDLC environment",03/05/2017,"Cloud Software Applications, SQL, Python, Perl, Node.js, Angular, REACT, UI/UX",110000,140000,TX
75,Jupiter,LV1-1337228,More Than 5 Years of experience and knowledge of: - 5+ yrs sesigning and building  interactive interfa - Understanding of modern SW design patterns - Mastery foundational tech /web/mobile/game dev - Direct exp w/ API's &  web services & REST - Exp launching prod. and building a team,03/05/2017,"5+ yrs sesigning and building  interactive interfa, Understanding of modern SW design patterns, Mastery foundational tech /web/mobile/game dev, Direct exp w/ API's &  web services & REST, Exp launching prod. and building a team",NA,NA,FL
76,College Station,NC1-1354074,"Required: - Programming proficiency in at least 1 of the following: Java, C++, Perl, PHP - SQL Server, or MySQL - Experience in developing both web and internal applications Preferred: - Statistical analysis/software experience (SAS, R, Python) - CRM experience",03/05/2017,"Linux systems programming, C/C++, CRM Development, shell scripting, Perl, PHP, Unix, SQL Server, MySQL",NA,NA,TX
77,Pittsburgh,BW4-1354132,5+ years working with JavaScript Solid Experience with the one (or more) of the following will also be essential - jQuery - Bootstrap - HTML5 - CSS3 - XML,03/05/2017,"Javascript, jQuery, Ajax, JSON, Bootstrap, HTML, CSS, XML, SQL, AngularJS",NA,NA,PA
78,Huntsville,MM16-1352335,"Education and/or Experience required:  •Bachelor's of Science Degree in Computer Science or similar technical degree is required with a minimum of three years' experience or a Master's Degree and one year of experience;  •Current DoD Secret Security Clearance;  •Experience with Java in object oriented design and development; Preferred:  •Experience with User Interface and human/machine interface concepts;  •Experience with OSGIplugins and Swing development;  •Experience with modem UML modeling tools such as Rational Software Architect is desired;  •Experience with Eclipse is desired;  •Other preferred experience: AnUMaven,Junit, EasyMock, Java profiling,WorldWind, ESRI. GJIS;",03/05/2017,"Matlab, Java, C++, Unix, Linux, Agile",100000,120000,AL
79,Concord,RV3-1335376,"Qualifications: - Development experience with multiple programming languages (Java, Python, Javascript, PHP, etc) - Relational and NoSQL database skills (MySql, Postgres, Cassandra, DynamoDB,etc.) Pluses:  - AWS - Maven, Git, Shell Scripting - Knowledge of redis, ElasticSearch, Zlib/ZIP compression - Understanding of product identifieers (UPC, EAN, GTIN, etc.)",03/05/2017,"Java, NoSQL, Javascript, AWS",75000,110000,MA
80,New York,RV3-1349343,"- Bachelor's Degree in Computer Science or related - Strong technical skills in OO languages like C++, Java or C# - Solid Unix or Linux experience - Ability to scale and handle performance of large systems Pluses: - Experience taking a leading role in building complex software systems that have been successfully delivered to customers - Background in distributed computing, service-oriented architectures and enterprise-wide systems - Experience mentoring junior software engineers to improve their skills, and make them more effective, product software engineers - Full stack experience",03/05/2017,"Java, C#, C++, Unix/Linux",150000,275000,NY
81,Plano,CB7-1346932,"At Least 3 Years of experience and knowledge of: -C proficiency -Linux-based router and WiFi product lines.   -Shell scripting -Familiarity with popular open source solutions (busybox, uclibc) -Familiarity with IPv4, Ethernet, DHCP, VLAN and basic routing concepts -Ability to work effectively in a Linux environment Pluses: - GDB - Revision control (git) - Familiarity with IPv6",03/05/2017,"Open Source, Linux, Router, WiFi, C, shell scripting, IPV4, Ethernet, DHCP, VLAN",60000,95000,TX
82,San Francisco,KB6-1345644,"At Least 3 Years of experience and knowledge of: - Strong abilities in Ruby on Rails - Experience with React - Full stack development abilities highly desired - BS or MS in CS or EE desired but not required If you meet some, but not all fo the requirements and have a passion for building a great business and product that will disrupt a market, please submit your resume!",03/05/2017,"Ruby on Rails, REACT, Full stack development",95000,160000,CA
83,Washington,PZ1-1348393,More Than 5 Years of experience and knowledge of: - Windows Linux - C# - C++ - Java - Pyhton or Ruby - GPGPU - AWS/AMI,03/05/2017,"Windows Linux, C#, C++, Java, Pyhton or Ruby, GPGPU, AWS/AMI",110000,150000,DC
84,Burbank,PZ1-1350058,At Least 1 Year of experience and knowledge of: - AWS - Python/Django - Software Engineering Cycles - VOD - DRM - OTT Nice to have skills: - MPEG-DASH - HLS - Smooth Streaming - Google ExoPLayer - Subtitle Formats,03/05/2017,"AWS, Python/Django, Software Engineering Cycles, DRM, VOD, OTT",90000,120000,CA
85,Belmont,MF3-1307431,At Least 3 Years of experience and knowledge of: - SQL - JavaScript - Python -  Application Development - Project Management,03/05/2017,"SQL, Javascript, Python, Application Development, Project Management",0,0,MA
86,Rockville,CG3-1353755,"At Least 3 Years of experience and knowledge of: - Java (7 or 8) - Hibernate, Spring - Maven - Oracle - REST Services Nice To Haves: - Docker, AWS, Vaadin, Spring Boot - Ruby, Python - SOAP, Servlet, Jquery, JMS, ElasticSearch, etc.",03/05/2017,"Javascript, Java, C#, SQL",0,0,MD
87,Arlington,GD3-1344320,More Than 5 Years of experience and knowledge of: - Ruby on Rails - MVC Frameworks - Eclipse IDE - Fusion Charts - Git/Github - MySQL - Oracle - PostgreSQL - JavaScript/HTML/CSS/XML - RESTful APIs,03/05/2017,"Ruby on Rails, MVC Frameworks, Eclipse IDE, Fusion Charts, Git/Github, MySQL, Oracle, PostgreSQL, JavaScript/HTML/CSS/XML, RESTful APIs",80000,140000,VA
88,Boulder,WW2-1354763,3-4 years of experience: - Objective-C - Cocoa - Desktop Applications Pluses: - XP or Kanban Methodology - Cairo - Linux - VNC/RDP,03/05/2017,"Objective-C, Cocoa, desktop applications",NA,NA,CO
89,Saint Louis,SE-softeng1252248,"* BS, MS, or PhD in Computer Science / Computer Engineering. * Experience in software developer roles preferred. * Working experience with C++, including a firm grasp of OO fundamentals. * A solid foundation in algorithms and data structures, Including algorithmic complexity. * Experience optimizing and tuning applications for performance. * Experience building, debugging and analyzing applications in a Linux environment. * Experience with profiling and memory analysis tools such as Purify, Profile, DUMA, CodeAnalyst, etc. * Familiarity with scripting and web languages (shell, Perl, Python, PHP, etc.) * Low level operating system knowledge and / or driver experience.",03/05/2017,"Software Engineer, C++(OOD) C++ programming, Linux, algorithm design/development, data structures, program optimization, RedHat, multi-threaded design",80000,100000,MO
90,Calabasas,HT1-1345663,"More Than 5 Years of experience and knowledge of: - Bachelor's degree in Computer Science, Computer, Electrical Engineering or related field - Experience in developing in C++ and/or C#  - Experience developing and debugging embedded Linux applications and kernel  - Excellent written and verbal communication and interpersonal skills.  - Knowledge of network control, routing and high speed Ethernet physical layer protocols  - Experience with HW/SW co-design, integration and bring-up.  - Energetic and passionate about software product development  - Strong analytical skills. Excellent written, verbal, presentation communication skills. Must be able to read and interpret complex information, talk with customers, and listen attentively.  - Must have experience in cross platform development, and have worked in products or technologies that have scalable and sustainable architectures  - Assertive self-starter with excellent organizational skills. Exhibit a positive, can-do approach and inspire associates to excel and develop a team spirit.",03/05/2017,"C/C++, C# Developer, Linux Kernel, Network Protocols, Routing",0,0,CA
91,Mountain View,DW5-1354515,"At Least 2 Years of experience and knowledge of: - Unit Testing - Debugging - Design Patterns - SQL Queries - Google Analytics Nice to Haves (NOT REQUIRED): - Curl, Telnet or MTR - Python - Golang",03/05/2017,"Unit testing, debugging, Design Patterns, SQL Queries, cURL, Telnet, MTR, Python, Golang, Google Analytics",NA,NA,CA
92,Chantilly,TS2-1353869,"Qualifications: - BS Degree - 5+ Years' development web applications/services - C#.NET, ASP.NET, C++,  - .NET Core, WPF, MVC, Web API - PHP, JQuery, HTML5 - RESTful Services, WCF, Web Services - .NET Data Access Layer Tech including ADO.NET and LINQ to SQL Bonus - Database Design - SQLServer, MySQL, Entity Framework - Bootstrap and Responsive Design - Source Control Management Systems and Deployment Environments",03/05/2017,"C#/ASP.NET, C++, WPF, MVC, Web API, PHP, jQuery, RESTful/WCF/Web Services, ADO.NET/LINQ/SQL",90000,100000,VA
93,Edwards,WW2-1354243,5 of more years of experience:  - JavaScript - Angular1.5 - ETIs - CRM experience - Scrum/Agile Environment,03/05/2017,"Javascript, Angular, CRM Platform",NA,NA,CO
94,Ventura,DD-1352370,"TECHNICAL SKILLS At least 3 years of software development (SOA, SDLC) - Java (up to Java 1.6) - JavaScript (jsp, ejb, JSTL)  - SQL Server 2000, MSSQL - Eclipse - XML, DHTML - Oracle / PeopleSoft / SAP applications Full Life Cycle development and support for Enterprise Application Networking - Accounting, Financials, General Ledger, GL, Accounts Payable (AP), AR, receivables experience a plus EDUCATION REQUIREMENTS Bachelor's Degree - Master's preferred  Software Architect Certifications a plus",03/05/2017,"Software Architecture, Java, Java Frameworks, SQL Server, Eclipse, .NET, PeopleSoft Financials, Service-Oriented Architecture/ SOA, Visual Basic, Websphere",90000,130000,CA
95,Lake Success,NR3-1348218,"-Bachelor’s Degree; preferably Computer Science major or related discipline. -3+ years of development experience with Python-related open-source technology stack. -3+ years hands-on development with Web Services. -3+ years Web-based development experience using Django, AngularJS, XSL, CSS, JavaScript and jQuery. -3+ years of experience with SQL queries and stored procedures. -3+ years of experience in developing software that runs on a Linux environment.",03/05/2017,"Python/Django, Angular/Backbone/React/Knockout/Node, Web Services / APIs (REST / SOAP / JSON / XML)",NA,NA,NY
96,Bedford,BW4-1353155,"We are looking for a passionate, self-directed, and good communicator. We want someone who wants to work in a small team, someone who wants to work for a proven company, and someone who wants to continue learning new technology as they advance.  - Full Stack experience - Python experience - shell scripting - data science projects If you have any Computer Vision or Machine Learning experience please let us know that as well!",03/05/2017,"Master's, SQL, Data Science, Data Mining, Python/R, data structures, Hadoop, Python, Big Data",70000,110000,MA
97,Redmond,DG4-1354111,More Than 5 Years of experience and knowledge of: - C# - ASP.NET - Azure Plus: - JavaScript - HTML - Chrome debugging,03/05/2017,"C#, ASP.NET, Azure, Javascript, HTML, Chrome debugging",130000,140000,WA
98,Brooklyn,LC3-1354404,"A Bachelor's Degree in Computer Science or similar and at least 3-7 Years of experience and knowledge of: - Java - J2EE web application development - SQL - JavaScript, HTML, CSS - JavaScript frameworks like Angular and Knockout - Spring MVC - Version Control System such as Git -JVM",03/05/2017,"Java, SQL, J2EE, Javascript, Angular, jQuery, HTML, CSS, Spring MVC, Oracle",75000,95000,NY
99,Lafayette,KW3-1351495,"Need to Have Skills: - 3+ years of PHP Experience - 1+ years of PHP application framework experience (Laravel/Lumen preferred) - Experience with Front End Technologies (CSS3, HTML5, JavaScript) - Familiarity with at least one software development methodology. Nice to Have Skills: - Experience with AJAX - Experience with RESTful APIs - Experience with Bootstrap - Experience with Unix Administration - Experience with OWASP, and general web application security vulnerabilities.",03/05/2017,"PHP, CSS3, HTML5, Javascript, Ajax, RESTful APIs, Bootstrap, Unix Administration, OWASP",75000,95000,LA
100,Redwood City,KB6-1352418,At Least 2 Years of experience and knowledge of: - JavaScript - ClojureScript - SASS - Clojure - Python - SQL/PostgreSQL,03/05/2017,"Javascript, ClojureScript, SASS, Clojure, Python, SQL/PostgreSQL",110000,150000,CA
101,Dublin,EG1-1349174,"College experience and knowledge of: - ASP.NET, C# - JavaScript - SQL Server Nice to haves: - Bootstrap, JQuery, other JavaScript frameworks - SOAP and REST - HTML/CSS - T-SQL",03/05/2017,"C#, ASP.NET, t-sql, Javascript, REST, HTML, CSS, Bootstrap, jQuery",50000,60000,OH
102,Sherman Oaks,BC2-1273373,"- 5+ years extensive programming experience in object-oriented programming -Familiar with at least one scripting language - Experience with source control and continuous integration & deployment development - Strong problem-solving and analytical skills - B.S./M.S. in Computer Science, Engineering, Information Systems, Math, Physics, or equivalent experience Pluses - Node - Koa/Express - React - Go - Python - Elasticsearch, Cassandra, Redis, MongoDB - Linux, AWS, Nginx, NSQ, docker, ansible",03/05/2017,"Python, Node.js, AWS, Java, mongodb",100000,175000,CA
103,North Logan,SM1-1340472,"At Least 1 Year of experience and knowledge of: - C# - Firmware - TI Chipset experience - photonics, lasers, cameras, or any experience with opto-mechanical controls",03/05/2017,"C#, firmware, TI Chipset experience, photonics",65000,90000,UT
104,Seattle,CP2-1346495,"-5+ years of software engineering experience -Experience with web frameworks (e.g., React, Redux) -Experience with web automation, unit testing, and system integration testing -Familiarity with web resource building and dependency systems (eg. Webpack)",03/05/2017,"React.JS, Web Automation, Javascript, HTML5, CSS3",95000,140000,WA
105,Bethesda,MM16-1347625,"Required Experience:  •Must have an active TS/SCI clearance with FSP. •A Bachelor’s Degree from an accredited college or university in Computer Science or related discipline is required.  An additional four (4) years of software development experience on projects with similar software development processes may be substituted for a Bachelor’s Degree. •Seven (7) or more years’ experience in software development is required. •Experience working with the customer or stakeholder to define, document, and implement system requirements. •The ability to create and execute test cases for peer code testing. •Two (2) years’ experience with Windows OS, SQL, Unix/Linux, JAVA or C++, HTML, JAVASCRIPT. •Six (6) months’ experience with Ruby on Rails or similar technologies, DoJo Service or similar technologies, Developing Web Services (SOAP and REST), Public Key Infrastructure (PKI).   Experience with any of the following is preferred but, not required; •XML Tools (XPATH, XQUERY, DOM, SAX, XSLT). •CSS. •AJAX. •JSP. •Spring framework. •JEE technologies. •CASPORT. •APACHE.",03/05/2017,"Java, C++, HTML, SQL, Unix/Linux, Javascript",70000,130000,MD
106,Toronto,KB6-1354165,"Requirements: 3 – 5 years experience with Java Skills in JavaScript, HTML, and CSS MySQL experience Understanding of object-oriented programming concepts and practices Nice to have: Experience working independently as part of a larger team Experience with SVN Ability to learn on the job, explore new tools, techniques and technologies Education/knowledge/relevant work experience in web application development Experience developing SaaS applications Experience developing web applications for mobile devices (iOS and Android)",03/05/2017,"Javascript, HTML, CSS, Java, svn, iOS, Android, SaaS, MySQL",85000,120000,ON
107,Middleboro,AB5-1346248,"At Least 3+ years of experience and knowledge of: - C#, SQL, ASP.NET, C++, Web Services, API's, and SQL - Understand and follow software development life cycle - Experience with Agile Scrum Development Methodology",03/05/2017,"C#, SQL, ASP.NET, .NET",80000,100000,MA
108,Springfield,TS2-1353038,"- BS in computer science, software engineering, or related field - 8+ Years' C# .NET application development - Agile processes, artifacts, and tools - Continuous Integration (CI) experience - Strong MVC, web, and database experience - MSSQL preferred, other database experience welcome - MongoDB or other NoSQL experience - Familiarity with accessing and retrieving data from REST APIs - JavaScript and JS frameworks experience - Microsoft Azure or equivalent - Git version control system Bonus Skills: - Python/PHP application development experience - DBA level understanding of SQL or NoSQL systems - Data Security Practices - UI/UX design",03/05/2017,"C#.NET, MVC, SQL or other database, MongoDB or NoSQL, JavaScript and JS frameworks, continuous integration, Microsoft Azure or Similar, Python or PHP, UI/UX Design Concepts",NA,NA,MA
109,New York City,KG1-1354464,"- JavaScript, React, Redux. - Python, Flask, SQLAlchemy, AWS.",03/05/2017,"Python, Javascript, React.JS, Redux, Flask, SQLAlchemy, AWS",100000,120000,NY
110,Mclean,CG3-1353778,"At Least 3 Years of experience and knowledge of: - Java (7 or 8) - Hibernate, Spring - Maven - Oracle - REST Services Nice To Haves: - Docker, AWS, Vaadin, Spring Boot - Ruby, Python - SOAP, Servlet, Jquery, JMS, ElasticSearch, etc.",03/05/2017,"Javascript, Java, C#, SQL",0,0,VA
111,San Rafael,KG1-1354213,- Java - Service Oriented Architecture (SOA) - NoSQL - Kanban methodology in a CI/CD environment,03/05/2017,"Java, SOA, CI, CD, Kanban, Node.js, Cloud, Golang, RESTful, NoSQL",120000,150000,CA
112,Hartford,MF3-1331197,At Least 3 Years of experience and knowledge of: - C# -  C/C++ - Java - Python - Software Development,03/05/2017,"C#, C/C++, Java, Python, Software Development",NA,NA,CT
113,Saint Louis,FM2-1353412,At Least 1 Year of experience and knowledge of: - Java  - OO-Design - SQL - OSI Model - HTTP - JavaScript - Agile Methodologies - Angular/Bootstrap/Maven/Spring Boot/Grails/Groovy/Bash/IntelliJ - Atlassian tools - HTML/CSS.JQuery - Linux,03/05/2017,"Java, SQL, OSI model, HTTP, Javascript, Agile Methodologies, Angular/Bootstrap/Ember/Knockout/Backbone/Node, HTML/CSS/Javascript/jQuery, Linux, object-oriented design",65000,95000,MO
114,Minneapolis,NR3-1355098,"2+ Years Experience with your technology stack or related technologies.  We Use.... Java, J2EE, JavaScript, OpenGL Unix, Linux MSQL, MYSQL, Oracle, Maria DB Apache, Tomcat CVS, SVN, Git, Jenkins Node, Angular, React",03/05/2017,"Java, Javascript, OpenGL, Microsoft SQL Server, MySQL, Maria DB, AngularJS, NodeJS, ReactJS",NA,NA,MN
115,Bergenfield,DM2-1350126,- Node.js - RESTful API Design - AWS  - MySQL - MongoDB / DynamoDB,03/05/2017,"Node.js, RESTful APIs, Javascript, MySQL, AWS, NoSQL (MongoDB / DynamoDB)",NA,NA,NJ
116,Cary,CF3-1347505,At Least 3 Years of experience and knowledge of: - Java/J2EE - SQL - C++ - Oracle,03/05/2017,"Manufacturing Execution Systems (MES), Java/J2EE, SQL, C++, quality management, change management, Oracle, 4GL",65000,90000,NC
117,Scottsdale,KK1-1354380,- Ideally 1-3 years of professional software development experience  - Strong object oriented programming language with either C# or Java - Familiar working in an Agile development setting - Experience integrating with Salesforce a huge plus  - Understanding of MEAN Stack development or AWS a huge plus as well  - Version control experience preferably with Bitbucket,03/05/2017,"C#, Java, SQL, No-SQL, MEAN stack, Salesforce, AWS, Version Control",60000,85000,AZ
118,Costa Mesa,GC3-1347072,"- BS in Computer Science or a track record of successfully delivering object-oriented software - Solid demonstrable skill in two or more languages: Javascript, Ruby, Java, Clojure, Scala - Strong hands-on experience with HTML and CSS - Experience writing and integrating with API's or microservices - Strong hands-on experience with relational and non- relational databases. - A passion and desire to learn and stay current with modern software technologies and methodologies - 3+ years experience with full lifecycle software development - Track record of using test-driven/behavior-driven development (TDD/BDD) - Preference for Agile methodologies and rapid prototyping over detailed specs - Excellent verbal and written communication Nice to haves: - Development with consumer facing high-traffic, mission-critical sites, systems, or processes - Experience with financial systems or Loan Origination Systems - Hands-on experience with mobile app development - Hands-on experience with Apache Spark, Kafka or Hadoop Stack - Responsive web and mobile web development - Strong hands-on experience with at least one NoSQL variant, i.e. Redis, Mongo, Cassandra - Current with HTML5 and CSS3 and front-end JavaScript frameworks, such as React.js, Angular.js, or Ember.js",03/05/2017,"Javascript, Ruby, Java, Clojure, Scala",100000,200000,CA
119,New York City,CB7-1352321,Experience with the following:  - Java - Python - C/ C++ - C# - REST - SQL tuning - Mobile Experience Plus: - Test automation / continuous delivery systems is a big plus,03/05/2017,"Python, Javascript, Java, SQL, C#",85000,120000,NY
120,Owings Mills,WW2-1351431,- NODE - JavaScript - MongoDB - React - HTML5/CSS - Socket.io Pluses: - C/C++ - Java - SCRUM - Client Facing - Windows Server - Mac OSX - Mobile Applications,03/05/2017,"NODE, Javascript, mongodb, Agile Software Development, REACT, HTML5/CSS, Socket.io",NA,NA,MD
121,Bethesda,JH5-1352698,- Microsoft - Azure - Service Bus - IoT Hub - Event Hub,03/05/2017,"Microsoft, Azure, Service Bus, IoT Hub, Event Hub",100000,120000,MD
122,Middleboro,RS-1331079,At Least 1 Year of experience and knowledge of: - C# - ASP.NET - Web Services - SQL,03/05/2017,"C#, ASP.NET, Web Services, SQL",75000,100000,MA
123,Ridgefield Park,MV1-1323474,"At Least 2 Years of experience and knowledge of: - Multiple programming/ software development languages (Java, C/C++ etc.) - Linux/Unix  - Network security  - Customer-Facing Skills, working with enterprise customers",03/05/2017,"Java/C/Scripting, Linux/Unix, Network Security, Customer-Facing Skills",100000,120000,NJ
124,Kansas City,DH1-1350075,"3+ years with PHP/MySQL - C#/.NET background - Experience with JavaScript (angular, Jquery, etc.) is a big plus - BS in CS (or related)",03/05/2017,"PHP, C#, MSSQL, Javascript",90000,110000,MO
125,Daytona Beach,CD-1325510,"•Minimum 4 years experience with C# and web development frameworks. Experience with .NET MVC 4+ required. •Experience designing and developing multi-tenant SaaS products preferred. •Familiarity with client-side technologies including but not limited to HTML, CSS and JavaScript libraries/frameworks such as jQuery, jQueryUI, Bootstrap, and Angular. Experience with HTML5 and responsive web design preferred. •SOA, web services, REST. •Minimum 5 years experience with relational database design and development (SQL Server). •Experience working in agile/scrum programming environment. •User Interface design and development a plus. - C# - JavaScript - SQL - ASP.NET - Front-End Development - SDLC - AngularJS/Node.js/Knockout - PHP/Wordpress",03/05/2017,"C#, SQL, ASP.NET, SDLC, AngularJS/Node.js/Knockout, PHP/Wordpress, MVC, Web Services (WCF SOAP, & REST), Test-driven development and CI/CD",70000,100000,FL
126,Akron,HG1-1322792,At Least 3 Years of experience and knowledge of: - C# - C++ - C - .NET Integration tools - SQL - HPUX (a plus)  -Cobol (not a must have) -Relational Databases  (SQL/ORM technologies),03/05/2017,"C#, C++, C, .NET Integration tools, SQL, HPUX, Linux/Unix, Software Development Lead",NA,NA,OH
127,Daytona Beach,CD-1327960,"•Minimum 4 years experience with C# and web development frameworks. Experience with .NET MVC 4+ required. •Experience designing and developing multi-tenant SaaS products preferred. •Familiarity with client-side technologies including but not limited to HTML, CSS and JavaScript libraries/frameworks such as jQuery, jQueryUI, Bootstrap, and Angular. Experience with HTML5 and responsive web design preferred. •SOA, web services, REST. •Minimum 5 years experience with relational database design and development (SQL Server). •Experience working in agile/scrum programming environment. •User Interface design and development a plus. - C# - JavaScript - SQL - ASP.NET - Front-End Development - SDLC - AngularJS/Node.js/Knockout - PHP/Wordpress",03/05/2017,"C#, SQL, ASP.NET, SDLC, AngularJS/Node.js/Knockout, PHP/Wordpress, MVC, Web Services (WCF SOAP, & REST), Test-driven development and CI/CD",70000,100000,FL
128,Charlottesville,CC4-1352911,Required: - JavaScript - Node.js - OOP (Any Language Works) - Git/Github,03/05/2017,"Javascript, Node.js, OOP, Git/Github",NA,NA,VA
129,Minneapolis,DW5-1354547,At Least 2 Years of experience and knowledge of: - VB.Net - ASP.Net - Test Plans - Visual Studio - MS SQL Server - JavaScript - CSS - HTML5,03/05/2017,"VB.NET, ASP.NET, Test plans, Visual Studio, MS SQL Server, Javascript, HTML, CSS, HTML5",NA,NA,MN
130,Billerica,AD4-1350095,"More Than 5 Years of experience and knowledge of: - C/C++ - L2/L3 Networking Background - Understanding of Tunneling - Installation and configuration of Linux distributions - Installation and/or Administration of OpenStack a plus - Understanding of cloud technologies and architectures such as SDN, NFV, containers Nice to Haves: Python, GO, Coverity, Jenkins, TCL, shell-scripting, NetConf, Postgres, Docker",03/05/2017,"C/C++, L2/L3 Networking, Tunneling, Linux distributions, openStack, Python, Go, Docker, Postgres, Jenkins",120000,140000,MA
131,Portsmouth,DH1-1351949,Good experience using most of the following: -C#/.NET - JavaScript - HTML/HTML5 - CSS/LESS - Mobile or Cordova/Phonegap is a plus,03/05/2017,"C#, Javascript, Agile/Scrum, HTML/CSS, Mobile Development",70000,110000,NH
132,New York City,MG7-1349122,At Least 3 Years of experience and knowledge of: - JavaScript - HTML/CSS - GUI,03/05/2017,"Javascript, HTML/CSS, GUI",100000,175000,NY
133,Austin,RV3-1346360,"- Bachelor's Degree in Computer Science or related - Strong technical skills in OO languages like C++, Java or C# - Solid Unix or Linux experience - Ability to scale and handle performance of large systems Pluses: - Experience taking a leading role in building complex software systems that have been successfully delivered to customers - Background in distributed computing, service-oriented architectures and enterprise-wide systems - Experience mentoring junior software engineers to improve their skills, and make them more effective, product software engineers - Full stack experience",03/05/2017,"Java, C#, C++, Unix/Linux",100000,200000,TX
134,San Francisco,JS9-1352536,"- Experience with JavaScript, Angular/Node, Python/Django and SQL - Solid hands-on coding and debugging skills - Comprehensive understanding of CS principals - Experience with a startup (preferred) - Experience developing native mobile apps (preferred)",03/05/2017,"Javascript, SQL, Python, Angular/Node",90000,140000,CA
135,Dallas,RK6-1319244,At Least 3 Years of experience and knowledge of: - Code Design - At least one shipped title - Geometry - Linear algebra - Vector Math - Strong communication skills Nice to have skills: - C++ - STL and/or Boost - C# - Scripting Languages - current generation console: iPhone/iPad experience,03/05/2017,"Code Design, Geometry, linear algebra, Graphics / Vector Math / Computational Geometry, Communication skills",100000,130000,TX
136,Las Vegas,DM2-1353242,We're looking for candidates with experience in some of the following technologies: - C# - T-SQL - C++ - XML/XSLT - HTML/CSS - ADO.Net - WCF / WPF,03/05/2017,"C#, t-sql, C++, XML/XSLT, HTML/CSS, ADO.NET, WCF / WPF",NA,NA,NV
137,Sacramento,JH5-1329377,- Medical Devices - Peripheral Electronics - AAMI - C++ - SafeRTOS - IEC 62304 and 60601 - ISO 13485 and 14971 - i2C - SPI - UART,03/05/2017,"Medical Devices, Peripheral Electronics, AAMI, C++, SafeRTOS, IEC 62304 and 60601, ISO 13485 and 14971, i2C, SPI, UART",80000,150000,CA
138,Bloomfield Hills,WK1-1354548,At Least 3 Year of experience and knowledge of: - SQL/ T-SQL - SQL Server - VB.Net/ VB6 - MS Access - .Net Development,03/05/2017,"SQL, SQL Server, VB.NET, MS Access, .NET development",65000,85000,MI
139,Hartford,MF3-1308850,At Least 3 Years of experience and knowledge of: - C# - .NET - Software Development - AngularJS - Git,03/05/2017,"C#, .NET, Software Development, AngularJS, Git",NA,NA,CT
140,Los Angeles,MR1-1256987,,03/05/2017,"PHP, MySQL, Laravel, RESTful APIs, Linux, Git/SVN, Lamp Stack, Ajax, XML, Dependency Injection",100000,110000,CA
141,Pottstown,BS4-1353610,"More Than 5 Years of experience and knowledge of: - C/C++ - Python - JavaScript - Linux - GIT, Bitbucket Nice to Have: - Robotics Experience - Familiarity with underwater technology - Knowledge of video/image processing",03/05/2017,"C/C++, Python, Javascript, Linux, Git, bitbucket",65000,80000,PA
142,Santa Rosa,MC5-1262807,"More Than 7 Years of experience and knowledge of: - LAMP (Linux, Apache, MySQL, PHP) - JavaScript - REST API - MySQL - JSON",06/15/2016,"LAMP (Linux, Apache, MySQL, PHP), Javascript, REST API, MySQL, JSON",0,130000,CA
143,San Antonio,CF3-1351230,At Least 3 Years of experience and knowledge of: - IDA pro or Olly - Python - Assembly - C++ - C - Java,03/05/2017,"IDA pro or Olly, Python, Assembly, C++, C, Java",90000,130000,TX
144,Gilbert,GG2-1326155,At Least 3 Years of experience and knowledge of: - Ruby on Rails - Angular.JS Nice to Have - PostgreSQL - iOS Development - Ember,02/23/2017,"Ruby, PostgreSQL, AngularJS, iOS Development, Ruby on Rails, Ember",90000,120000,AZ
145,San Jose,SG1-1352999,"• B.S./M.S. in Electrical Engineering or similar • Software test, test automation, and test framework experience • Regression & Stress Test Plans for mobile and cross-platform applications • Fluency with at least one scripting language (Python, Perl, etc.) Nice to have skills: • Experience in testing systems consisting of Devicenet, CANbus, BACnet, EnOcean, and ZigBee device • Test Automation tools, issue tracking tools and PDM systems such as Agile",03/01/2017,"software test, Test Automation, Test Plans for Mobile/Cross-Platform Apps, Scripting Lanugage",70000,85000,CA
